,score,title,availability,image,link,generos,pais,estreno,tags,fecha,duracion,sinopsis,audio,subtítulos,votos,reparto
25,7.1,El Piloto,Disponible hasta el 10 de agosto,https://static.filmin.es/images/media/45024/1/card_0_3_550x310.webp,https://www.filmin.es/pelicula/el-piloto,Acción,Estados Unidos,10/02/23,"Survival Movie, Aviación, Accidente Avión, Guerra, Violencia, Fin de año",2023 , 1h 48min,"Gerard Butler (""Objetivo: La casa blanca""; ""300"") se convierte en un habilidoso piloto dispuesto a todo por salvar a su tripulación en esta trepidante película dirigida por Jean - François Richet (Blood Father, Asalto al distrito 13). El actor Mike Colter le da la réplica.

En la noche de fin de año, el piloto experto Brodie Torrance (Gerard Butler) realiza un arriesgado aterrizaje cuando su avión, repleto de pasajeros, es alcanzado por un rayo. Perdidos en medio de una isla devastada por la guerra, Torrance se dará cuenta que sobrevivir al vuelo sólo ha sido el principio de una trepidante aventura llena de peligros. El piloto deberá usar todo su ingenio para llevar a los pasajeros a sus destinos sanos y salvos.","Inglés (Original)
Español",Español,34 votos,"Gerard Butler, Mike Colter, Lilly Krug, Tony Goldwyn, Yoson An, Evan Dane Taylor, Paul Ben-Victor, Daniella Pineda, Modesto Lacen"
26,6.5,Sam & Kate,Disponible hasta el 10 de agosto,https://static.filmin.es/images/media/45300/6/card_0_3_550x310.png,https://www.filmin.es/pelicula/sam-kate,"Comedia, Romántica",Estados Unidos,,"Relación Padre Hijo, Madres, Relación Madre Hijo, Comedia Romántica, Enfermedades y Discapacidades, Romances singulares, Comedia de enredos",2022 , 1h 46min,"Comedia romántica con Sissy Spacek y Dustin Hoffman, quien además comparte cartel con su hijo en la vida real, Jake Hoffman.

Dustin Hoffman interpreta a Bill, un padre al cuidado de Sam (Jake Hoffman), quien ha regresado a casa para cuidar a su padre enfermo. Mientras está en casa, Sam se enamora de una mujer local, Kate (Fisk). Al mismo tiempo, Bill comienza a enamorarse de su madre, Tina (Spacek).","Inglés (Original)
Español",Español,8 votos,"Jake Hoffman, Dustin Hoffman, Schuyler Fisk, Sissy Spacek, Elizabeth Becka, Henry Thomas, Pat Dortch, Dylan McNamara, Larry Larson, DeMorris Stroud, Matthew Batson"
27,7.5,Las Montañas de la Luna,Disponible hasta el 11 de agosto,https://static.filmin.es/images/media/10669/1/card_0_3_550x310.webp,https://www.filmin.es/pelicula/las-montanas-de-la-luna,Aventuras,Estados Unidos,24/08/90,"Investigación Científica, África, Viajes Extranjero, Basado en una Novela, Exploradores y Aventureros, Desnivel, Colonialismo",1990 , 2h 10min,"El capitán Richard Francis Burton (Patrick Bergin) y el teniente John Hanning Speke (Iain Glen) inician una expedición juntos en nombre del Imperio británico y de la reina Victoria para encontrar la fuente del Nilo. Una historia en la que la amistad se inicia con un encuentro, se fortalece gracias a las dificultades de la aventura y, finalmente, se disuelve tras finalizar el viaje. Película basada en la novela de William Harrison.","Español
Inglés",,218 votos,"Jake Hoffman, Dustin Hoffman, Schuyler Fisk, Sissy Spacek, Elizabeth Becka, Henry Thomas, Pat Dortch, Dylan McNamara, Larry Larson, DeMorris Stroud, Matthew Batson"
28,6,Last Looks,Disponible hasta el 11 de agosto,https://static.filmin.es/images/media/41617/2/card_0_3_550x310.png,https://www.filmin.es/pelicula/last-looks,"Acción, Comedia",Estados Unidos,,"Cine Policíaco, Comedia de acción, Neo-noir, Suspense, Humor Negro, Crimen y Delincuencia, Violencia, Asesinato, Comedia Policial, Basado en una Novela, Novela Negra contemporánea, Alquiler",2021 , 1h 51min,"Desenfada comedia policial protagonizada por Charlie Hunnan (""Sons of Anarchy) y Mel Gibson. Un neo-noir en clave de comedia que sigue el camino de películas como ""The Nice Guys"". El descastado policía Waldo es contratado para investigar el caso de un famoso actor de Hollywood acusado de asesinato. 

Un ex policía deshonrado busca la soledad retirándose al bosque, pero su vida tranquila termina cuando un investigador privado lo contrata para investigar un asesinato.","Español
Inglés",Español,21 votos,"Charlie Hunnam, Mel Gibson, Lucy Fry, Morena Baccarin, Rupert Friend, Clancy Brown, Jacob Scipio, David Pasquesi, Sophie Fatu, Robin Givens"
29,8.7,Azul blanco verde,Disponible hasta el 13 de agosto,https://static.filmin.es/images/media/44036/3/card_0_3_550x310.webp,https://www.filmin.es/pelicula/azul-blanco-verde,Documental,España,,"Documental sobre Educación, Barcelona, Educa y cine, Found Footage, Guerra Civil Española, Mar, En las aulas, Profesor y alumno, Infancia y Adolescencia, Historia de España, COVID-19, Documental Español",2022 , 1h 1min,"¿Qué valores hacen de una escuela pública un referente desde hace 100 años? “Azul blanco verde” documenta desde dentro un modelo educativo singular, el de la Escola del Mar. Nacida en la playa de Barcelona y destruida por una bomba durante la guerra, ha conservado, además del nombre, una identidad y un proyecto únicos, al servicio de la educación en valores. Una herencia viva (y vigente aún) de los pioneros de la innovación pedagógica. 

El documental retrata esta fidelidad siguiendo a lo largo de un trimestre la actividad actual y conectando el presente con una película de 1936 de aquella escuela sobre la playa. El original de la filmación, de una calidad inèdita, se ha recuperado después de años olvidado en un archivo. Completan el paralelismo los testimonios de las últimas alumnas vivas.",Catalán,,25 votos,"Charlie Hunnam, Mel Gibson, Lucy Fry, Morena Baccarin, Rupert Friend, Clancy Brown, Jacob Scipio, David Pasquesi, Sophie Fatu, Robin Givens"
30,3.5,Deja Vu,Disponible hasta el 13 de agosto,https://static.filmin.es/images/media/41832/2/card_0_3_550x310.png,https://www.filmin.es/pelicula/deja-vu,"Terror, Thriller",Estados Unidos,,"Suspense, Terror Psicológico, Sectas, Satánico, Relaciones Familiares, Muerte, Desapariciones, Asesinato, Alquiler",2019 , 1h 28min,"Terror psicológico y sectas. Tres hermanos descienden un río para esparcir las cenizas de su padre, despertando así una tragedia que creían enterrada en su subconsciente.

Cuando su padre es asesinado, tres hermanos descienden sobre un río de montaña de Oregón para esparcir sus cenizas. Después de su llegada, uno de sus hijos desaparece. Uno de los hermanos fue secuestrado hace 30 años cuando visitaron este mismo río, pero ha bloqueado el incidente de su mente. Solo al desbloquear los misterios dentro de su subconsciente, podrán encontrar al niño.","Español
Inglés",Español,10 votos,"Michael Biehn, Michael Madsen, Ryan Carnes, Kenzie Dalton, Rick Salomon, Christian Madsen, Clement von Franckenstein, Owen Burke, Beth Miller"
31,8.7,The Act of Killing (Director's Cut),Disponible hasta el 14 de agosto,https://static.filmin.es/images/media/9789/2/card_0_3_550x310.webp,https://www.filmin.es/pelicula/the-act-of-killing-directors-cut,Documental,,,"2 Festival de Berlín, Otros 6 premios o nominaciones, Genocidio, Cine Nórdico, Lección de Historia, Violencia, Director's Cut, Derechos Humanos, Docuthriller, Médicos Sin Fronteras, Películas Largas, Greatest Hits Docs, Obras Maestras",2012 , 2h 40min,"Mejor Película de 2013 según la prestigiosa revista Sight and Sound. Versión íntegra de 159 minutos con el montaje del director. Cuando el gobierno de Indonesia fue derrocado por el ejército en 1965, más de un millón de personas fueron asesinadas en menos de un año. Anwar y sus amigos fueron promocionados a jefes de escuadrones de la muerte y el mismo Anwar en persona asesinó a cientos de personas con sus propias manos. En ""The Act of Killing"" Anwar y sus amigos acceden a contar sus historias sobre las matanzas. Pero la idea que tienen de aparecer en pantalla no tiene nada en común con el género documental; ellos quieren ser estrellas del celuloide de su género cinematográfico favorito: el cine de gansgsters, los westerns, los musicales. Ellos escriben los guiones. Ellos se interpretan a sí mismos. Y ellos mismos interpretan a sus víctimas. ""The Act of Killing"" es una pesadilla - un viaje a los recuerdos y las fantasías de los autores impenitentes y del impactantemente banal régimen de corrupción e impunidad en el que habitan.",Indonesio,,846 votos,"Michael Biehn, Michael Madsen, Ryan Carnes, Kenzie Dalton, Rick Salomon, Christian Madsen, Clement von Franckenstein, Owen Burke, Beth Miller"
32,2.7,Ibiza Zombie,Disponible hasta el 14 de agosto,https://static.filmin.es/images/media/41830/1/card_0_3_550x310.webp,https://www.filmin.es/pelicula/ibiza-zombie,"Terror, Comedia",Reino Unido,,"Comedia de Terror, Zombies, Terror Británico, Gore, Verano, Survival Movie, Fiesta, Noche de fiesta, Discoteca, Serie B, Serie Z, Alquiler",2016 , 1h 35min,"Las vacaciones de un grupo de amigos en Ibiza quedan interrumpidas por la aparición de unos zombies.

Un grupo de amigos británicos viaja a Ibiza a pasar las vacaciones, pero su juerga se tuerce cuando se encuentran con un puñado de zombis.","Español
Inglés",Español,6 votos,"Cara Theobold, Emily Atack, Algina Lipskis, Jordan Coulson, Ed Kear, Marcia Do Vales, Matt King, Homer Todiwala"
33,7.3,Gigi & Nate,Disponible hasta el 14 de agosto,https://static.filmin.es/images/media/45075/1/card_0_3_550x310.png,https://www.filmin.es/pelicula/gigi-nate,Drama,,,"Cine Familiar, Animales salvajes, Amistad Humano-Animal Salvaje, Enfermedades y Discapacidades, Discapacidades, Accidente Coche",2022 , 1h 50min,"Con las premiadas actrices Diane Ladd (""Corazón Salvaje"") y Marcia Gay Harden (""Pollock""), ""Gigi & Nate"" es una entrañable exploración de las segundas oportunidades y los derechos de los animales.

La vida de un joven da un giro de 180º tras un accidente en el que queda tetrapléjico. Pero cuando seguir hacia delante parece una misión casi imposible, aparecerá en su vida un peculiar animal de servicio, Gigi - un curioso e inteligente mono capuchino.","Inglés (Original)
Español",Español,6 votos,"Charlie Rowe, Marcia Gay Harden, Jim Belushi, Diane Ladd, Josephine Langford, Zoe Margaret Colletti, Tara Summers"
34,6,Tierra sin ley,Disponible hasta el 14 de agosto,https://static.filmin.es/images/media/45077/1/card_0_3_550x310.png,https://www.filmin.es/pelicula/tierra-sin-ley,Thriller,Estados Unidos,20/02/23,"1 Traverse City Film Festival, Otros 2 premios o nominaciones, Basado en una Novela, Duelo/Luto, Parques y Bosques, Nieve, Venganza, Thriller sobre Venganza",2022 , 1h 39min,"Basada en una novela, esta película protagonizada por la ganadora del Emmy, Thandiwe Newton, refleja como la venganza puede dominar a una persona y hasta que punto puede llegar para conseguirla.

Cuando una profesora universitaria en duelo se enfrenta a dos cazadores a los que sorprende invadiendo su propiedad, se ve arrastrada a una creciente batalla de voluntades con consecuencias catastróficas.","Inglés (Original)
Español",Español,4 votos,"Thandiwe Newton, Joris Jarsky, Jefferson White, Dan Gravage, Tanaya Beatty, Kai Lennox, George De Vries, Lynn Solomon"
35,6.3,"Dios mío, ¿pero qué nos has hecho?",Disponible hasta el 17 de agosto,https://static.filmin.es/images/media/42851/2/card_0_3_550x310.webp,https://www.filmin.es/pelicula/dios-mio-pero-que-nos-has-hecho,Comedia,Francia,02/08/22,"Cine Familiar, Comedia Francesa, Comedia Romántica Francesa, Comedia de enredos, Choque cultural, Relaciones Familiares, Religión, Matrimonio, Alquiler",2022 , 1h 38min,"Los Verneuil tendrán que acoger a los padres de todos sus yernos en la tercera entrega de una de las sagas más divertidas y exitosas del cine francés reciente en España y en todo el mundo.

Pronto se cumplen 40 años del matrimonio entre Claude y Marie Verneuil. Para esta ocasión, sus cuatro hijas deciden organizar una gran fiesta sorpresa en la casa familiar de Chinon e invitar a Francia a los padres de cada uno de los yernos a pasar allí unos días. Claude y Marie tendrán que acoger bajo su techo a los padres de Rachid, David, Chao y Charles. Esta estancia en ""familia"" promete estar llena de acontecimientos.","Francés
Catalán
Español","Español
Catalán",38 votos,"Christian Clavier, Chantal Lauby, Ary Abittan, Medi Sadoun, Frédéric Chau, Noom Diawara, Frédérique Bel, Emilie Caen, Élodie Fontan, Alice David, Pascal N'Zonzi, Salimata Kamate"
