,score,title,availability,image,link,generos,pais,estreno,tags,fecha,duracion,sinopsis,audio,subtítulos,votos,reparto
15,6.8,Chiara,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/46298/5/card_0_3_550x310.webp,https://www.filmin.es/pelicula/chiara,Biopic,,,"6 Festival de Venecia, Otros 3 premios o nominaciones, AMFF 2023, AMFF 2023 - Sección Oficial, Cine Religioso, Biopic Religioso, Biopic Mujeres Extraordinarias, Basada en hechos reales, Monjas, Revolución, Religión, Feminismo, Controversia religiosa, Mujeres Guerreras, Subtítulos en inglés",2022 , 1h 46min,"La extraordinaria historia real de Clara de Asís, o cómo una joven de 18 años consiguió convertirse en Santa tras enfrentarse a la masculinidad religiosa y al mismísimo Papa. Una película de Susanna Nicchiarelli, directora de la celebrada ""Miss Marx"" participante en la Sección Oficial del Festival de Venecia.

Asís, 1211. Chiara tiene dieciocho años y una noche se escapa de casa para reunirse con su amigo Francesco: a partir de ese momento su vida cambia para siempre. Con carisma y convicción se libera de las ataduras de su acomodada familia y llega a enfrentarse al mismísimo Papa. Por ella, por las mujeres que la acompañan y por su sueño de libertad. La historia de un Santo. La historia de una niña y su revolución.",Varios (Original),"Inglés
Español",65 votos,"Margherita Mazzucco, Andrea Carpenzano, Carlotta Natoli, Paola Tiziana Cruciani, Luigi Lo Cascio"
16,5.6,Pensive,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/46378/5/card_0_3_550x310.png,https://www.filmin.es/pelicula/pensive,"Terror, Thriller",Lituania,,"1 Festival de Torino, Otros 4 premios o nominaciones, AMFF 2023, AMFF 2023 - Sección Oficial, Ópera Prima, Slasher, Asesino en serie, Verano, Violencia, Amistad, Veinteañeros, Asesinato, Muerte, Noche de fiesta, Instituto, Teen Angst, Subtítulos en inglés",2022 , 1h 25min,"Un brutal slasher que reúne a un grupo de alocados adolescentes en una fiesta de graduación donde correrá el alcohol y también la sangre. A su vez, una reflexión sobre el respeto por el patrimonio.

Después de que los compañeros de clase destruyen estatuas de arte popular de madera de tamaño real durante una salvaje fiesta de graduación de la escuela secundaria en una cabaña remota, un misterioso asesino comienza a eliminarles uno por uno.",Lituano (Original),"Español
Inglés",51 votos,"Sarunas Rapolas Meliesius, Gabija Bargailaite, Marius Repsys, Donatas Simukauskas, Kipras Masidlauskas, Povilas Jatkevicius, Martynas Berulis, Justinas Gircys, Inga Puriuskyte, Saule Rasimaite"
17,6.3,The Gravity,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/46394/5/card_0_3_550x310.png,https://www.filmin.es/pelicula/the-gravity,"Ciencia ficción, Acción, Drama",Francia,,"1 Festival de Toronto, Otros 4 premios o nominaciones, AMFF 2023, AMFF 2023 - Sección Oficial, Cine Social, Bandas Callejeras, Delincuencia Juvenil, París, Narcotráfico, Drogas, Suburbios, Crimen y Delincuencia, Violencia, Cine apocalíptico, Espacio Exterior, Relación entre Hermanos, Subtítulos en inglés",2022 , 1h 26min,"¿Qué pasaría si a una película de bandas le sumamos el realismo social de los suburbios parisinos y una buena dosis de fantástico? ""The Gravity"" tiene la respuesta. Una película de ciencia ficción definitivamente callejera que puede recordar tanto a ""Los Miserables"" de Ladj Ly como al cine del mítico John Carpenter.

Una alineación sin precedentes de planetas que impactan en la gravedad alterará el equilibrio de un gueto y el destino de dos dúos de hermanos deseosos de hacer cualquier cosa por su libertad en una lucha incesante entre viejas y nuevas generaciones.",Francés (Original),"Español
Inglés
Catalán",67 votos,"Max Gomis, Jean-Baptiste Anoumon, Steve Tientcheu, Olivier Rosemberg, Thierry Godard, Hafsia Herzi, Bilel Chegrani, Djilane Diawara, Ines Zahoré"
18,7.7,María y la película olvidada,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/46458/1/card_0_3_550x310.png,https://www.filmin.es/pelicula/maria-y-la-pelicula-olvidada,Documental,España,,"1 Atlàntida Mallorca Film Fest, AMFF 2023, AMFF 2023 - Balearics Largometrajes, Documental sobre Cine, Documental sobre Cine Español, Documentales sobre Mujeres de referencia, Lección de Historia, Rodada en las Islas Baleares, Documental Histórico, Olvidadas por la historia, Feminismo, Documental sobre Feminismo, Películas Cortas, Directoras",2023 , 1h 2min,"Hace unos años nadie la conocía y hoy se sospecha que fue la primera directora de cine sonoro en España. María Forteza y su película “Mallorca” hicieron historia y ha llegado la hora de explicarla.

¿Quién era esta pionera en los inicios del cine sonoro? Hasta ahora, nadie había oído hablar de ella.El talento artístico de María Forteza va más allá. Su nieto, Miguel Ángel, emprende un viaje personal y creativo con el objetivo de reconstruir la vida de su abuela en Mallorca, Barcelona y su exilio en Portugal después de la Guerra Civil.Durante su búsqueda, descubre que María Forteza era cantante de zarzuela y cuplé, pero también amenizaba con su voz las proyecciones de cine mudo, que empezaban a proliferar en aquel entonces. El mundo del espectáculo acompañaba al cine hasta la llegada del sonido, y María Forteza formaba parte íntimamente de ambos.",Varios (Original),Español,32 votos,"Max Gomis, Jean-Baptiste Anoumon, Steve Tientcheu, Olivier Rosemberg, Thierry Godard, Hafsia Herzi, Bilel Chegrani, Djilane Diawara, Ines Zahoré"
19,7,Falcon Lake,Disponible hasta el 6 de agosto,https://static.filmin.es/images/media/46545/5/card_0_3_550x310.webp,https://www.filmin.es/pelicula/falcon-lake,"Drama, Romántica",,,"1 Festival de Cannes, Otros 19 premios o nominaciones, AMFF 2023, AMFF 2023 - Sección Oficial, Ópera Prima, Drama fantástico, Infancia y Adolescencia, Vida Rural, Amor y Fantasía, Verano, Primer amor, Parques y Bosques, Realismo mágico, Fantasía, Romance, Romances singulares, Novela Gráfica",2022 , 1h 41min,"Lo sobrenatural se cuela en esta hermoso romance veraniego en la que un adolescente se enamora de una chica mayor que él. Nominada al César a Mejor Ópera Prima y seleccionada en la Quincena de Realizadores del Festival de Cannes.

Bastien, un adolescente parisino, pasa las vacaciones con su familia en una cabaña junto a un lago de Quebec. Allí se encontrará con Chloé, una chica mayor, de quien se enamorará. A pesar de la diferencia de edad y de los miedos de Bastien, desarrollan un vínculo especial. Bastien tendrá que enfrentarse a sus miedos para conseguir un lugar en el corazón de Chloé, mientras exploran su sexualidad y la inquietante leyenda del fantasma del lago.",Varios (Original),"Español
Catalán",158 votos,"Joseph Engel, Sara Montpetit, Monia Chokri, Arthur Igual, Karine Gonthier-Hyndman, Anthony Therrien, Pierre-Luc Lafontaine, Thomas Laperriere, Lévi Doré, Jeff Roop, Jacob Whiteduck-Lavoie, Éléonore Loiselle, Samir Firouz"
20,5.8,Soy vertical pero me gustaría ser horizontal,Disponible hasta el 7 de agosto,https://static.filmin.es/images/media/46343/1/card_0_3_550x310.png,https://www.filmin.es/corto/soy-vertical-pero-me-gustaria-ser-horizontal,Comedia,España,,"1 Festival de Sevilla, Otros 3 premios o nominaciones, AMFF 2023, AMFF 2023 - Arties, Mediometraje, Cinema Valencià, Humor Absurdo, Onirismo y Surrealismo, Benidorm, Turismo, Poesía, Noche de fiesta, Fantasía, Viajes en el tiempo, Directoras, Subtítulos en inglés",2022 , 40min,"Sylvia Plath y Belén Esteban se encuentran en Benidorm en esta comedia feminista con tintes de ciencia ficción por María Antón Cabot (""Pico 3"").

En 1956 en la ciudad costera de Benidorm, Sylvia, poeta estadounidense, pasa su luna de miel. Tras una discusión con su marido, sale a dar un paseo; el sol pega fuerte y sufre una insolación. Confundida, viaja en el tiempo a 2022. Mientras deambula por el futuro se tropieza con Belén, celebridad de la TV, de la que se hace muy amiga.",Varios (Original),"Inglés
Español",240 votos,"Ruth Gabriel, Odette Galbally"
21,7.7,Lo and behold: el inicio de Internet,Disponible hasta el 9 de agosto,https://static.filmin.es/images/media/32385/1/card_0_3_550x310.webp,https://www.filmin.es/pelicula/lo-and-behold-el-inicio-de-internet,Documental,Estados Unidos,,"1 Festival de Munich, Otros 1 premios o nominaciones, Grandes Estrenos, Estreno exclusivo, Documental sobre Ciencia y Tecnología, Nuevas tecnologías, Redes Sociales, Futurista, Ciencia, Informática, Capitalismo, Documental sobre Economía",2016 , 1h 34min,"Werner Herzog examina el pasado, presente y futuro en constante evolución de Internet con invitados de lujo como Elon Musk o Kevin Mitnick en un interesantísimo documental que pone patas arriba la red informática que cambió el mundo.

NetScout, líder mundial en ciberseguridad y servicios de protección en tiempo real, se subió a bordo como productor e introdujo en un nuevo mundo a Werner Herzog, que llevó a cabo una serie de originales entrevistas con pioneros y profetas del ciberespacio como Elon Musk (cofundador de PayPal y Tesla), Bob Kahn (inventor de la IP o protocolo de internet) o el afamado pirata informático Kevin Mitnick. Estas provocadoras conversaciones revelan la forma en que el mundo digital ha transformado la manera en que funciona prácticamente todo en el mundo real, desde los negocios a la educación, los viajes espaciales, la asistencia médica o el cómo gestionamos nuestras relaciones personales. El ""lo"" del título original hace referencia al primer mensaje enviado por el ciberespacio, entre ordenadores de la Universidad de UCLA y la de Stanford, el 29 de octubre de 1969.",Inglés,Español,238 votos,"Werner Herzog, Elon Musk, Bob Kahn, Kevin Mitnick"
22,8.5,Dúo,Disponible hasta el 9 de agosto,https://static.filmin.es/images/media/44802/1/card_0_3_550x310.webp,https://www.filmin.es/pelicula/duo,Drama,España,01/09/22,"1 D'A Film Festival, Otros 1 premios o nominaciones, Directoras, Danza, Madres, Mundo de la interpretación, Vida Rural, Matrimonio, Pocos Personajes y Localizaciones, Película de viajes",2022 , 1h 47min,"Norte de Argentina. Carnavales. Tras un año en el pueblo con su madre, Mónica retoma un dúo de danza con su pareja. Juntos emprenden una gira por la cordillera de los Andes, en un intento de salvar la relación aferrándose a una promesa: “no dejaré de querer lo que queda de ti”. ¿Qué hacen allí? ¿Actuar para qué, para quién? Nadie les pidió estar allí. Y sin embargo allí están, aislados, a la deriva, ¿qué fueron a buscar?La distancia entre ellos revela lo irreal de un anhelo que ya no existe. El paisaje, las mujeres del altiplano y la soledad profunda del matrimonio sumergen a Mónica en una mezcla de deseos, miedos, ilusiones, recuerdos y reflexiones que la devuelven a su origen, a su pueblo, a su madre, otorgándole la fuerza y el impulso para tomar su propio camino. Amar, a veces, quiere decir saber soltar.",Español,,8 votos,"Mónica García, Gonzalo Cunill"
23,6.7,M3GAN,Disponible hasta el 9 de agosto,https://static.filmin.es/images/media/45076/4/card_1_3_550x310.webp,https://www.filmin.es/pelicula/m3gan,"Terror, Comedia, Ciencia ficción",Estados Unidos,04/01/23,"1 Premios MTV, Comedia de Terror, Slasher, Humor Negro, Infancia y Adolescencia, Nuevas tecnologías, Robots, Violencia, Exorcismos y posesiones, Remakes Buenos, Remakes, Alquiler",2022 , 1h 36min,"Justo en el momento de estallido de la era de las inteligencias artificiales llega ""M3GAN"", esta especie de Chucky contemporánea que ha arrasado en taquillas de todo el mundo y que se ha convertido en el último gran éxito del estudio Blumhouse. Una gamberra comedia negra en la que la llegada de una muñeca realista con inteligencia artificial en la vida de una niña de 9 años resultará, cuanto menos, desequilibrante.

M3GAN es una maravilla de la inteligencia artificial, una muñeca realista programada para ser la mejor compañera de los niños y la mayor aliada de los padres. Cuando, inesperadamente, Gemma, su diseñadora, se convierte en la tutora legal de Cady, su sobrina huérfana de 9 años, no se siente preparada para ejercer de madre. Sometida a un intenso estrés laboral, Gemma decide vincular M3GAN a Cady, pero no tardará en descubrir las inimaginables consecuencias de su decisión.","Inglés (Original)
Español",Español,114 votos,"Allison Williams, Violet McGraw, Ronny Chieng, Brian Jordan Alvarez, Jen Van Epps, Arlo Green, Michael Saccente, Amie Donald, Stephane Garneau-Monten, Kira Josephson, Lori Dungey"
24,6.9,"Dónde estás, Bernadette",Disponible hasta el 10 de agosto,https://static.filmin.es/images/media/30682/4/card_0_3_550x310.webp,https://www.filmin.es/pelicula/donde-estas-bernadette,"Comedia, Drama",Estados Unidos,10/07/20,"1 Globos de Oro, Feel Good Movies, Comedia dramática, Basado en una Novela, Madres, Relación Madre Hijo, Desapariciones, Neurodiversidad, Alcoholismo, Vecindario, Arquitectura, Crisis de Pareja, Crisis Creativa, Crisis de mediana edad, Exploraciones antárticas, Bestseller, Grandes éxitos en suscripción",2019 , 1h 45min,"Cate Blanchett es la inflexible Bernadette en esta vitalista comedia dirigida por Richard Linklater (""Boyhood"") sobre una mujer que, en el momento en el que su vida se pone patas arriba, desaparece de la faz de la tierra.

Bernadette Fox (Cate Blanchett) es una mujer de Seattle que lo tiene todo: un marido que la adora y una hija brillante. Cuando desaparece sin dejar rastro de forma inesperada, su familia se embarca en una aventura emocionante para resolver el misterio de dónde puede haber ido Bernadette. ","Español
Inglés",Español,1368 votos,"Cate Blanchett, Kristen Wiig, Billy Crudup, Laurence Fishburne, Jóhannes Haukur Jóhannesson, Judy Greer, Emma Nelson, Troian Avery Bellisario"
